date,carrier,origin,dest,delayMinutes
2026-01-05,UA,ORD,LAX,12
2026-01-05,UA,ORD,SFO,45
2026-01-05,UA,EWR,LAX,3
2026-01-05,DL,ATL,ORD,20
2026-01-05,DL,ATL,LAX,60
2026-01-05,AA,DFW,ORD,5
2026-01-05,AA,DFW,LAX,15
2026-01-06,UA,ORD,LAX,8
2026-01-06,UA,ORD,SFO,90
2026-01-06,UA,EWR,LAX,25
2026-01-06,DL,ATL,ORD,10
2026-01-06,DL,ATL,LAX,35
2026-01-06,AA,DFW,ORD,0
2026-01-06,AA,DFW,LAX,22
2026-01-07,UA,ORD,LAX,55
2026-01-07,UA,ORD,SFO,18
2026-01-07,UA,EWR,LAX,40
2026-01-07,DL,ATL,ORD,5
2026-01-07,DL,ATL,LAX,12
2026-01-07,AA,DFW,ORD,30
2026-01-07,AA,DFW,LAX,8
2026-01-08,UA,ORD,LAX,0
2026-01-08,UA,ORD,SFO,65
2026-01-08,UA,EWR,LAX,10
2026-01-08,DL,ATL,ORD,15
2026-01-08,DL,ATL,LAX,50
2026-01-08,AA,DFW,ORD,20
2026-01-08,AA,DFW,LAX,5
2026-01-09,UA,ORD,LAX,33
2026-01-09,UA,ORD,SFO,72
2026-01-09,UA,EWR,LAX,14
2026-01-09,DL,ATL,ORD,8
2026-01-09,DL,ATL,LAX,28
2026-01-09,AA,DFW,ORD,10
2026-01-09,AA,DFW,LAX,45
2026-01-10,UA,ORD,LAX,19
2026-01-10,UA,ORD,SFO,50
2026-01-10,UA,EWR,LAX,6
2026-01-10,DL,ATL,ORD,25
2026-01-10,DL,ATL,LAX,18
2026-01-10,AA,DFW,ORD,3
2026-01-10,AA,DFW,LAX,60
